GATE_SH_UW: 3983.709,38.71961,2487.775,-273.3089,0,0
GATE_SH_SL: 2429.897,297.3575,1738.601,112.5702,1,0
GATE_HI_SH: -2565.364,627.8488,-1613.222,856.9916,1,0
GATE_TR_SH: -1861.663,-291.4634,-1427.485,-659.2604,0,0
SH_C11: -2412.214,484.4865,-1495.849,677.7192,1,0
SH_S03: -2496.325,519.7703,-1567.717,751.1318,1,0
SH_S05: 2344.319,187.2665,1690.74,-2.478421,1,0
SH_D01: -2035.947,383.8676,-1383.034,696.9736,1,1
SH_A25: -1696.949,337.8676,-999.0338,573.9736,1,1
SH_A13: -1566.949,438.8676,-876.0318,781.9736,1,1
SH_A14: -1395.949,441.8676,-684.0318,795.9736,1,1
SH_C02: -1065.949,440.8676,-531.0318,822.9736,1,1
SH_B08: -715.0906,377.4478,-161.032,737.9736,1,1
SH_A11: -1544.949,331.8676,-881.0318,549.9735,1,1
SH_A15: -1432.949,228.8673,-730.0318,452.9736,1,1
SH_A12: -1397.949,344.8676,-729.0318,591.9736,1,1
SH_B09: -882.9501,245.8677,-411.0318,500.9736,2,1
SH_A05: -1036.949,280.8675,-277.0318,463.9736,0,1
SH_S04: -910.3611,280.5245,-151.3723,462.3121,0,0
SH_B01: -707.9501,279.8675,-281.0318,613.9736,0,1
SH_C10: -309.9041,279.7952,-49.63279,610.0632,0,1
SH_A21: 1.049996,280.8675,278.9681,613.9736,0,1
SH_C03: -562.9501,106.8674,-307.0316,330.9734,2,1
SH_S10: -247.703,106.3395,34.14508,331.2642,2,0
SH_B15: -955.9028,38.79533,-419.6329,240.063,2,1
SH_B16: -1196.487,-10.18034,-644.2724,249.4619,2,1
SH_C07: -1478.949,-27.13234,-767.0318,134.9732,2,1
SH_S01: -1589.949,-58.1324,-891.0318,215.9736,2,0
SH_B17: -1200.428,-131.4192,-634.8244,129.8049,2,1
SH_C09: -684.9031,-128.2047,-414.6329,124.0627,2,1
SH_C01: -316.9502,76.86751,-34.03183,471.9736,1,1
SH_B06: -576.9501,-282.1324,-597.0318,-162.0262,1,1
SH_A17: -446.9502,-221.1326,-452.0314,-39.02654,2,1
SH_A16: -304.9507,-126.1327,-194.032,-0.02684238,2,1
SH_A24: -270.9507,-237.1325,-347.0318,-184.0262,1,1
SH_S06: -264.4933,-319.5905,-341.8941,-323.5575,1,0
SH_B07: 868.0496,-227.1325,560.9679,-449.0268,1,1
SH_S07: 615.507,-286.5905,273.1058,-388.5575,1,0
SH_B13: 698.0966,-391.2049,270.367,-514.9368,1,1
SH_B11: -372.9502,-349.1324,-468.0314,-275.0266,1,1
SH_D02: -96.95052,-501.1329,-468.0319,-603.0264,1,1
SH_B10: 432.0498,-501.1329,-32.03195,-600.0264,1,1
SH_A06: -7.950004,75.86768,-89.03177,183.9736,1,1
SH_B02: 228.0495,74.86769,42.96831,186.9736,1,1
SH_B03: 453.0498,217.8673,266.9682,194.9736,1,1
SH_C04: 607.0499,332.8676,389.9682,214.9736,1,1
SH_S02: 733.0499,236.8675,515.9683,271.9737,1,0
SH_A10: 604.0499,586.8671,392.968,528.9735,1,1
SH_C05: 927.0499,324.8676,522.9683,128.9732,1,1
SH_E05: 1523.89,282.7792,883.0885,99.49314,1,1
SH_C13: 2130.089,281.7817,1413.185,100.7795,1,0
SH_A07: 565.0504,-42.13231,388.9682,-94.02654,1,1
SH_B04: 800.0499,12.86773,567.9682,-60.0264,1,1
SH_A04: 1083.051,14.86774,827.9682,-71.02635,1,1
SH_A26: 1271.272,10.76347,956.3158,-68.25866,1,1
SH_A19: 542.0499,-153.1327,367.9682,-227.0265,1,1
SH_B05: 330.0495,-59.13229,102.9684,-88.02649,1,1
SH_C08: -0.9501375,-169.1327,-232.0319,-132.0264,1,1
SH_A22: 359.0498,-230.1325,195.9682,-235.0263,2,1
SH_C12: 552.777,-172.5662,304.1755,-200.3272,2,1
SH_A23: 868.0499,-81.13245,663.9682,-213.0263,1,1
