GATE_SB_TR: -4307.884,-256.5547,-2838.215,-70.9231,1,0
GATE_TR_SH: 3680.243,-130.5207,2550.878,22.51866,2,0
GATE_UW_TR: 1209.355,2472.385,917.4077,1341.398,1,0
TR_S01: 3537.378,-154.2461,2434.746,24.97357,2,0
TR_ROOT01: -3980.889,-355.5555,-2717.216,-197.923,1,0
TR_ROOT02: -3323.562,-313.2219,-2402.219,-111.9232,1,2
TR_ROOT03: -2881.81,-428.472,-1888.464,-313.9232,1,2
TR_ROOT04: -3592.61,-503.4716,-2394.469,-364.7231,0,0
TR_ROOT05: -3249.444,-570.3049,-2242.8,-308.2231,0,0
TR_S05: -3240.893,-672.1677,-2133.428,-433.3265,0,0
TR_ROOT06: -2795.587,-589.4479,-1886.653,-441.9374,0,2
TR_ROOT07: -2385.833,-301.6981,-1768.028,-130.4374,1,2
TR_ROOT08: -2549.835,-480.0314,-1764.029,-347.4374,0,2
TR_ROOT09: -2231.633,-527.6313,-1527.529,-411.6373,0,2
TR_ROOT10: -2150.997,-429.4496,-1351.074,-274.7282,0,2
TR_ROOT11: -1790.41,-351.6164,-1217.406,-192.8949,1,2
TR_ROOT12: -1464.025,-440.9241,-882.8666,-237.2026,0,2
TR_ROOT13: -993.0229,-295.7811,-877.8666,-122.4882,1,2
TR_ROOT14: -985.8896,-467.8477,-677.2665,-395.8884,1,0
TR_S04: -1273.217,-485.1896,-788.2766,-405.7177,1,0
TR_ROOT15: -447.264,-446.6604,-362.6411,-393.3884,0,0
TR_ROOT16: -85.73592,-217.66,-160.4077,-102.8,1,0
TR_S03: 42.71761,-280.7227,60.30215,-243.6955,2,0
TR_ROOT17: 380.8759,-69.99329,254.4819,56.58893,1,1
TR_ROOT18: 690.8214,-263.7828,267.7963,-225.8323,2,1
TR_ROOT19: 956.9193,-60.13288,737.7929,63.61754,1,1
TR_ROOT20: 1143.825,-108.3711,882.2229,136.9512,1,1
TR_ROOT21: -20.53732,-420.1896,-31.00194,-370.8674,0,1
TR_ROOT22: 696.7229,-522.015,422.3466,-431.3453,1,1
TR_ROOT23: 294.891,-492.4734,197.2628,-427.9703,1,1
TR_ROOT24: -1033.19,-305.2338,-766.057,-258.4103,0,2
TR_ROOT25: -1324.613,-492.7721,-894.98,-435.718,0,2
TR_ROOT26: -1781.503,-503.7352,-1208.833,-427.0884,0,2
TR_ROOT27: 1032.523,-441.383,746.3639,-429.2054,1,1
TR_ROOT28: 1378.691,-257.5161,886.0626,-148.2055,2,1
TR_ROOT29: 1483.496,-129.5486,1002.158,3.472025,1,1
TR_S02: 1304.172,-242.2228,884.1876,3.531725,1,0
TR_ROOT30: 1970.055,-261.8609,1261.407,-126.5281,1,0
TR_ROOT31: 2444.236,-305.6489,1684.743,-205.2856,1,3
TR_ROOT32: 2701.823,-304.9136,1906.859,-171.3149,1,3
